City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Opunake,87,NZ,1586799408,84,-39.46,173.86,48.99,10.0
Pangnirtung,90,CA,1586798953,92,66.15,-65.71,17.6,13.87
Punta Arenas,75,CL,1586799188,62,-53.15,-70.92,51.8,31.09
Albany,90,US,1586799210,82,42.6,-73.97,63.0,20.8
Bredasdorp,2,ZA,1586799413,59,-34.53,20.04,60.8,6.02
Torbay,20,CA,1586799315,42,47.67,-52.73,48.0,16.11
Nishihara,40,JP,1586799415,51,26.18,127.76,62.6,16.11
Arkhipo-Osipovka,26,RU,1586799416,67,44.37,38.52,41.23,1.3
Kazachinskoye,0,RU,1586799417,81,57.7,93.28,37.98,7.58
Hilo,75,US,1586799351,78,19.73,-155.09,71.6,4.7
Severo-Kuril'sk,59,RU,1586799419,93,50.68,156.12,25.32,9.33
Shimoda,75,JP,1586799420,93,34.67,138.95,50.0,3.36
Flinders,0,AU,1586799269,93,-34.58,150.86,59.0,8.05
Camacha,40,PT,1586799423,87,33.08,-16.33,66.2,14.99
Ribeira Grande,40,PT,1586799425,68,38.52,-28.7,66.2,13.87
Arraial do Cabo,20,BR,1586799426,61,-22.97,-42.03,80.6,13.87
San Policarpo,81,PH,1586799427,77,12.18,125.51,80.73,8.63
Khatanga,100,RU,1586799428,97,71.97,102.5,18.91,3.51
Guerrero Negro,48,MX,1586799430,56,27.98,-114.06,65.59,15.55
Aklavik,90,CA,1586799431,98,68.22,-135.01,32.0,6.93
Tilichiki,3,RU,1586799432,88,60.47,166.1,2.34,7.81
Sørland,40,NO,1586799433,64,67.67,12.69,37.4,28.86
Sinnamary,55,GF,1586799435,68,5.38,-52.95,80.96,9.95
Tura,56,IN,1586799436,38,25.52,90.22,76.15,2.06
Yellowknife,20,CA,1586799334,56,62.46,-114.35,12.2,10.29
Iqaluit,75,CA,1586799440,67,63.75,-68.51,21.2,18.34
Ushuaia,75,AR,1586799441,71,-54.8,-68.3,50.0,26.4
Pangai,20,TO,1586799442,83,-19.8,-174.35,78.8,5.82
Kharp,33,RU,1586799443,87,66.8,65.81,13.48,5.73
Saint Paul Harbor,90,US,1586799444,87,57.79,-152.41,42.8,3.36
Bluff,91,NZ,1586799445,82,-46.6,168.33,45.0,11.99
Banjar,20,ID,1586799446,88,-8.19,114.97,82.4,3.36
Coquimbo,4,CL,1586799447,68,-29.95,-71.34,64.4,13.87
Carnarvon,40,AU,1586799448,88,-24.87,113.63,75.2,14.99
Mataura,83,NZ,1586799450,82,-46.19,168.86,45.0,11.99
Guaramirim,40,BR,1586799451,54,-26.47,-49.0,81.0,8.05
Rikitea,56,PF,1586799452,72,-23.12,-134.97,76.78,11.74
Clyde River,90,CA,1586799453,85,70.47,-68.59,14.0,23.04
Hermanus,17,ZA,1586799454,87,-34.42,19.23,61.0,3.15
